original_name,synonym_tr8,h_max,h_min,le_area,le_long,seed_wght,li_span,canopy_height,leaf_dmc,leaf_mass,leaf_size,life_span,seed_mass,seed_number_per_shoot,C.N.Ratio,Height..Mature,Lifespan,seed_mas_cal,seed_pro_cal,leaf_N_area,leaf_N_mass,max_height_cal,sla_cal
Arabidopsis thaliana,Arabidopsis thaliana,NA,NA,NA,NA,NA,a (annual),0.133333333,103.5,9.642721352,281,annuals + summer annuals + strict monocarpic bi-annuals and poly-annuals,0.02088,299730.1933,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arabis alpina,Arabis alpina,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.1375,NA,NA,NA,NA,0.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arabis hirsuta,Arabis hirsuta,NA,NA,NA,NA,NA,b (biennial) - p (pluriennial-pollakanthic),0.323333333,166,15.75671642,374,perennials + strict monocarpic bi-annuals and poly-annuals + poly-annuals < 5 years (short-lived perennials),0.097907692,552041.6665,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arctagrostis latifolia,Arctagrostis latifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,1.8,Long,NA,NA,NA,NA,NA,NA
Arctium minus,Arctium minus,NA,NA,NA,NA,NA,b (biennial),0.7,177.3333333,4104.936905,117000,strict monocarpic bi-annuals and poly-annuals,12.03975238,8118,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arctium nemorosum,Arctium nemorosum,NA,NA,NA,NA,NA,b (biennial),1.6,NA,NA,NA,strict monocarpic bi-annuals and poly-annuals,17.15533333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arctophila fulva,Arctophila fulva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,2,Short,NA,NA,NA,NA,NA,NA
Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.17,371,12.46875,42.5,perennials + poly-annuals 5-50 years (medium-lived perennials),7.4102,NA,High,0.5,Long,14.8,NA,NA,NA,NA,5.42
Arenaria norvegica,Arenaria norvegica,NA,NA,NA,NA,NA,NA,0.0375,NA,NA,NA,NA,0.2269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arenaria serpyllifolia,Arenaria serpyllifolia,NA,NA,NA,NA,NA,a (annual) - b (biennial),0.165,219.18,0.654718251,13.18333333,annuals + perennials + summer annuals + strict monocarpic bi-annuals and poly-annuals,0.067110606,57612.91668,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armeria maritima,Armeria maritima,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.15,173.88,7.68,NA,perennials,1.099363636,2209.714286,High,0.9,Moderate,NA,NA,NA,NA,NA,NA
Arnica montana,Arnica montana,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.275,125.91,99.245,1601.5,perennials + poly-annuals 5-50 years (medium-lived perennials),1.47,67303.66667,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arrhenatherum elatius,Arrhenatherum elatius,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),1.275,291.3166667,30.65406338,1223,perennials,3.079493333,8390.222223,Medium,4,Moderate,3.37,NA,NA,NA,NA,NA
Artemisia campestris,Artemisia campestris,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.45,214.69,10.63,176.25,poly-annuals < 5 years (short-lived perennials) + poly-annuals 5-50 years (medium-lived perennials),0.133428571,28550.57143,NA,NA,NA,NA,NA,NA,NA,NA,NA
Artemisia maritima,Artemisia maritima,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.35,182.225,38.46333333,554.875,poly-annuals < 5 years (short-lived perennials),0.75,564.8076923,NA,NA,NA,NA,NA,NA,NA,NA,NA
Artemisia vulgaris,Artemisia vulgaris,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),1.4,258,255.2913636,3914.426333,perennials + poly-annuals < 5 years (short-lived perennials) + poly-annuals 5-50 years (medium-lived perennials),0.144933333,290509.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asperula tinctoria,Asperula tinctoria,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.425,228.71,2.485,48.25,summer annuals + poly-annuals < 5 years (short-lived perennials),2.8,110.3571429,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asplenium adiantum-nigrum,Asplenium adiantum-nigrum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.3,NA,NA,NA,strict monocarpic bi-annuals and poly-annuals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asplenium adulterinum,Asplenium adulterinum,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.125,NA,NA,NA,perennials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asplenium ruta-muraria,Asplenium ruta-muraria,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.09,292.3333333,11.92208468,149.3333333,poly-annuals 5-50 years (medium-lived perennials),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asplenium scolopendrium,Asplenium scolopendrium,NA,NA,NA,NA,NA,NA,0.325,234,1436.8,15385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asplenium septentrionale,Asplenium septentrionale,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.115,187.49,10.7,150.5,perennials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asplenium trichomanes,Asplenium trichomanes,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.175,337,95.5,1042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asplenium viride,Asplenium viride,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astragalus alpinus,Astragalus alpinus,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.117,183.12,4.1,162.465,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astragalus frigidus,Astragalus frigidus,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.2,182.8,26.1,651.71,perennials,NA,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astragalus glycyphyllos,Astragalus glycyphyllos,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.575,272.5,115.5815321,2720.5,perennials + poly-annuals < 5 years (short-lived perennials) + poly-annuals 5-50 years (medium-lived perennials),5.150033333,13777.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Athyrium distentifolium,Athyrium distentifolium,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.53,148.175,403.78,7951.335,perennials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Athyrium filix-femina,Athyrium filix-femina,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.65,292,5603.077432,67730,poly-annuals > 50 years (long-lived perennials),NA,1870723.5,Medium,3,Long,NA,NA,NA,NA,NA,NA
Atocion armeria,Silene armeria,NA,NA,NA,NA,NA,a (annual) - b (biennial) - h (pluriennial-hapaxanthic),0.31,148.65,5.9,155,NA,0.129733333,1622.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atocion rupestre,Silene rupestris,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.14,184.28,3.91,104,NA,0.074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atriplex glabriuscula,Atriplex glabriuscula,NA,NA,NA,NA,NA,a (annual),0.421666667,168.125,158.6125,2737.25,summer annuals,2.36075,21500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atriplex laciniata,Atriplex laciniata,NA,NA,NA,NA,NA,a (annual),0.568333333,212.1,117.875,1802.75,summer annuals,21.4448,27734.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atriplex littoralis,Atriplex littoralis,NA,NA,NA,NA,NA,a (annual),0.753333333,125.2325,70.23854806,868.75,summer annuals,1.4404,44538.40909,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atriplex longipes,Atriplex longipes,NA,NA,NA,NA,NA,a (annual),0.2625,NA,NA,NA,summer annuals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atriplex patula,Atriplex patula,NA,NA,NA,NA,NA,a (annual),0.9875,164.25,68.53310454,1222.5,annuals + summer annuals,3.205633333,5798.844445,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atriplex prostrata,Atriplex prostrata,NA,NA,NA,NA,NA,a (annual),0.95,144.3333333,139.779414,2670.666667,annuals + summer annuals,2.15622,3050,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avenella flexuosa,Deschampsia flexuosa,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.075,329.55,2.9155,40.575,perennials,0.311700901,2484.791429,Medium,2.6,Short,NA,NA,NA,NA,NA,NA
Avenula pratensis,Avenula pratensis,NA,NA,NA,NA,NA,NA,0.65,322.6666667,90.29974866,932,perennials,2.68071875,248.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avenula pubescens,Avenula pubescens,NA,NA,NA,NA,NA,NA,0.6,264,36.4756695,855,perennials,1.92416,1135.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baldellia repens,Baldellia repens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,perennials,0.22,57.18181818,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barbarea stricta,Barbarea stricta,NA,NA,NA,NA,NA,b (biennial),0.60375,131.54,15.95,712,strict monocarpic bi-annuals and poly-annuals + poly-annuals < 5 years (short-lived perennials),0.413,3706.833333,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bartsia alpina,Bartsia alpina,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.13825,198.44,10.19,265.75,perennials,0.332125,156.1888889,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bellis perennis,Bellis perennis,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.055,113.5,11.62723288,359,perennials + poly-annuals 5-50 years (medium-lived perennials),0.14152,17255.08333,NA,NA,NA,0.152,1300,NA,NA,NA,NA
Berula erecta,Berula erecta,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.475,96.475,160.6335249,3582.875,perennials,0.69945,25000,High,2.8,Moderate,NA,NA,NA,NA,NA,NA
Betula nana,Betula nana,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),0.685,403.47,4.747272727,49.65842105,perennials,0.199588889,3135.2125,High,3,Moderate,NA,NA,NA,NA,NA,NA
Betula pendula,Betula pendula,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),27,273,NA,1181.1,perennials,0.188353846,15674.2,Medium,60,Short,NA,NA,NA,NA,NA,NA
Betula pubescens,Betula pubescens,NA,NA,NA,NA,NA,p (pluriennial-pollakanthic),25,NA,NA,NA,perennials,0.219966667,2512612.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bidens cernua,Bidens cernua,NA,NA,NA,NA,NA,a (annual),0.4775,152.3033333,74.37666667,2381.5,summer annuals,1.0205,7508.333334,Medium,3.2,Short,NA,NA,NA,NA,NA,NA
Bidens tripartita,Bidens tripartita,NA,NA,NA,NA,NA,a (annual),0.525,152.16,74.71105565,2417.083333,annuals + summer annuals,2.43494,29670.83334,Medium,3.5,Short,NA,NA,NA,NA,NA,NA
